PROJECT,YEAR,MONTH,DAY,TIME,SITE,COMET,FLAG A1,FLAG G1,FLAG G2,FLAG G3,FLAG P1,FLAG P2,FLAG F1,FLAG RH1,FLAG RH2,FLAG TS1,FLAG TS2,FLAG TS3,FLAG TF1,FLAG TF2,FLAG W1,FLAG W2,FLAG W3,FLAG W4,W2 offset,QC TXT
"MITTEN-CI",2024,7,1,1735,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,3,1639,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,3,1518,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,5,1537,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,5,1327,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,7,1539,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,7,1135,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,7,1729,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,8,1720,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,8,1347,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,8,1440,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,8,1749,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,8,1949,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1427,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1441,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1456,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1153,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1441,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1505,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,9,1752,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,11,1614,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,11,1146,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,11,1449,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,11,1759,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,12,1603,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,12,1436,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,12,1750,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,14,1755,"","3","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
"MITTEN-CI",2024,7,14,1638,"","alpha","no","no","no","no","no","all","all","no","all","no","all","no","no","all","no","no","no","all",0,1
